merchant_id,period,district_id,mcc,period_revenue,period_transaction_count,period_distinct_customers,POI_count,POI_diversity,merchant_district_mean_household_income,revenue_change,transaction_change,customer_change,mcc_median_revenue_change,mcc_median_transaction_change,mcc_median_customer_change,customer_age_mean,customer_age_median,customer_income_mean,customer_income_median,customer_gender_entropy,number_of_customer_work_districts,customer_work_district_entropy,number_of_customer_home_districts,customer_home_district_entropy,customer_job_type_entropy,customer_education_entropy,customer_marital_status_entropy,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector__centrality,merchant_district_population,merchant_ego_net_mcc_entropy,merchant_ego_net_geo_entropy,revenue_label,transaction_label,customer_label,sum_labels,performance_label
1,1,96,5411,3317.32,88,26,171,1.328555016,4120,0.107424065,0.090909091,0.153846154,0.177622795,0.10140376,0.055555556,38.5,39.5,2299.846154,1900,0.582492044,9,1.958314376,5,0.745739671,0.692420757,1.302401258,0.324508087,82,89.95085647,0.000237699,0.006175768,463433,1.053753019,1.65163676,0,0,1,1,medium-performing
2,1,123,5411,16005.07,362,59,80,1.251058829,4188,0.333588044,0.116022099,0.13559322,0.177622795,0.10140376,0.055555556,38.55932203,38,2826.526102,1500,0.481020354,18,2.233098683,11,0.954607969,0.574291194,1.394367287,0.431645474,167,451.4072549,0.000253485,0.005819976,442694,1.05170661,1.837943007,1,1,1,3,well-performing
3,1,160,5411,5105.47,237,22,91,1.550197852,5772,0.435325249,0.320675105,0.227272727,0.177622795,0.10140376,0.055555556,43.90909091,44.5,3225.772727,3000,0.474139113,12,2.299611616,6,1.011600312,1.055603949,1.389680692,0.54811748,115,219.2327195,0.00024777,0.007694496,497586,1.052208377,1.748518028,1,1,1,3,well-performing
4,1,34,5411,5552.03,172,34,84,1.338190713,8845,0.545279835,0.38372093,0.235294118,0.177622795,0.10140376,0.055555556,46.08823529,45,3549.823529,2110,0.605797299,14,1.799390615,6,0.812141329,1.432431043,1.340514563,0.841626085,84,89.34281093,0.000235627,0.002030724,222370,1.016489108,1.370578021,1,1,1,3,well-performing
5,1,77,5411,2302.6,83,21,76,1.023217959,3197,0.157964909,-0.240963855,-0.095238095,0.177622795,0.10140376,0.055555556,39.42857143,38,2641.714286,2100,0.410116118,8,1.565522627,5,0.750968278,0.709114958,1.095172669,0.775128875,88,214.0828485,0.000250627,0.001898834,748483,1.062942723,1.975493437,0,0,0,0,poorly-performing
6,1,121,5411,5542.11,148,30,160,0.973635668,3567,0.027801686,0.189189189,0.133333333,0.177622795,0.10140376,0.055555556,37.06666667,37,2160.466667,2000,0.543272581,11,1.702759839,5,0.672590549,0.531303503,1.347909598,0.777595625,64,28.96502815,0.000238379,0.001287325,770393,1.078747444,1.558441788,0,1,1,2,medium-performing
7,1,160,5411,1465.04,67,24,259,1.237190384,5772,0.815827554,1.417910448,0.041666667,0.177622795,0.10140376,0.055555556,42.75,41.5,2171.569583,1625,0.636513968,12,1.987593115,6,0.847039039,1.234267366,1.41573952,0.802818482,100,154.1396353,0.000250564,0.006080066,497586,1.063666035,1.689441844,1,1,0,2,medium-performing
8,1,65,5691,10430.64,134,102,88,0.992109765,3055,-0.188438102,-0.201492537,-0.156862745,-0.033028781,-0.022058824,-0.013157895,40.06862745,40,2213.448039,1917,0.434430584,21,2.317935154,13,1.5240113,0.776757982,1.517505622,0.686362625,214,690.6430159,0.000252461,0.014282325,698260,1.044964694,1.725237204,0,0,0,0,poorly-performing
9,1,31,5541,18268.05,157,129,33,0,2372,-0.520964744,-0.50955414,-0.465116279,-0.094470234,-0.058823529,-0.076923077,39.49612403,38,62418.62791,2500,0.444268455,32,3.22319456,28,3.169339762,1.20775373,1.531346005,0.689003945,610,7481.846654,0.000275558,0.017037791,180524,1.044478261,3.329166692,0,0,0,0,poorly-performing
10,1,160,5411,2608.32,99,19,9,0.348832096,5772,0.325009968,-0.222222222,-0.315789474,0.177622795,0.10140376,0.055555556,37.57894737,40,3080.421053,2500,0.436162125,7,1.584256869,3,0.409458319,0.536664262,1.135550297,0.733541349,68,44.05549471,0.000229148,0.004152795,497586,1.085259572,1.478305784,1,0,0,1,medium-performing
11,1,17,5541,20918.18,187,86,28,1.04064941,4773,-0.398988822,-0.422459893,-0.313953488,-0.094470234,-0.058823529,-0.076923077,38.98837209,37.5,2852.798488,2125,0.462823558,19,2.359695378,19,2.342143718,0.976192887,1.308276343,0.83293815,338,1482.657524,0.000262881,0.009637561,236606,1.014954264,2.871271834,0,0,0,0,poorly-performing
12,1,100,5541,84538.48,806,264,54,0.535241181,3019,-0.107694508,-0.09057072,-0.098484848,-0.094470234,-0.058823529,-0.076923077,37.47727273,36,3607.379091,2266.5,0.361761164,32,2.846563721,24,1.777634403,0.916741119,1.442770149,0.725141401,533,4235.618643,0.000267094,0.021704182,497959,1.084146235,2.616930539,0,0,0,0,poorly-performing
13,1,160,5541,36112.99,304,102,47,1.171751832,5772,-0.243910294,-0.167763158,-0.215686275,-0.094470234,-0.058823529,-0.076923077,38.92156863,39,3133.850196,2500,0.434430584,20,2.48883005,17,1.859904331,0.968199165,1.476873839,0.614694693,301,1760.483617,0.000260281,0.016192864,497586,1.006706209,2.505594669,0,0,0,0,poorly-performing
14,1,9,5411,2547.43,138,22,136,1.624412926,3693,0.389561244,0.18115942,0.090909091,0.177622795,0.10140376,0.055555556,37.31818182,36.5,2993.090909,1815,0.535959689,11,2.082827273,6,1.011600312,0.4851042,1.550558383,0.367649177,91,140.2072715,0.000244858,0.002209338,251087,1.070491313,2.196970622,1,1,1,3,well-performing
15,1,38,5411,2823.34,62,23,58,1.302020466,2633,0.084137936,0.241935484,-0.173913043,0.177622795,0.10140376,0.055555556,41.56521739,39,3100.086957,2000,0.573964291,10,2.080114853,6,1.361621373,1.082779509,1.169991176,0.669892922,97,163.6156661,0.00024108,0.002937547,402391,1.081833147,2.034897706,0,1,0,1,medium-performing
16,1,121,5411,7554.46,215,53,100,1.14251969,3567,0.110170681,0.162790698,0.094339623,0.177622795,0.10140376,0.055555556,38.88679245,38,2135.358491,1500,0.510688469,17,2.242483952,3,0.186836759,0.438141548,1.207905019,0.469329573,126,202.3246129,0.000245098,0.001765924,770393,0.981648578,1.426099719,0,1,1,2,medium-performing
17,1,42,5541,24901.63,208,78,64,1.15969942,3024,0.098047397,0.110576923,-0.012820513,-0.094470234,-0.058823529,-0.076923077,36.51282051,35.5,2850.538462,2000,0.202272802,20,2.117006217,12,1.375797826,0.746832193,1.259850193,0.561998207,200,814.6838722,0.000255232,0.003395836,846492,0.956955671,2.201785092,1,1,1,3,well-performing
18,1,4,5691,5023.68,115,82,117,1.661467838,6577,-0.015102475,-0.069565217,0,-0.033028781,-0.022058824,-0.013157895,37.01219512,36.5,3568.609756,2800,0.526289669,21,2.413458834,15,2.176325744,0.844380951,1.056907947,0.900048652,280,590.0365192,0.000254972,0.033414795,423372,0.826078677,1.86681273,1,0,1,2,medium-performing
19,1,63,5411,1760.53,65,19,73,1.273580652,3637,0.664515799,0.569230769,0.473684211,0.177622795,0.10140376,0.055555556,39.47368421,37,3300.736842,2350,0.436162125,5,1.398919894,3,0.409458319,1.043547407,1.634165958,0.536664262,98,112.0820412,0.000238777,0.005428286,699901,1.043957105,1.594975602,1,1,1,3,well-performing
20,1,2,5541,40581.07,262,81,119,1.377552649,3388,-0.479808196,-0.332061069,-0.12345679,-0.094470234,-0.058823529,-0.076923077,40.16049383,40,3729.625062,2500,0.322361652,17,2.243345672,16,1.959067159,0.938394343,1.247932582,0.509391246,276,1062.458842,0.000258532,0.004837434,296967,0.894611413,2.626085998,0,0,0,0,poorly-performing
21,1,17,5691,5525.75,87,76,320,2.036913,4773,0.054090395,0.091954023,-0.065789474,-0.033028781,-0.022058824,-0.013157895,36.5,36,2758.233816,2000,0.601679555,21,2.361875668,20,2.328017012,0.730426787,1.462246419,0.743371437,229,1133.992601,0.000258799,0.005574009,236606,0.986268483,2.435677879,1,1,0,2,medium-performing
22,1,115,5691,8567.16,146,111,577,1.02707591,7822,-0.213886515,-0.178082192,-0.009009009,-0.033028781,-0.022058824,-0.013157895,39.71171171,39,2118.369369,1500,0.689856299,15,1.704751866,17,2.068465208,0.614957133,1.458814259,0.709657903,278,1121.392174,0.000258933,0.010016672,274196,0.928216321,1.998946025,0,0,1,1,medium-performing
23,1,70,5691,28053.28,335,245,2,0.693147181,3480,-0.125685125,-0.065671642,-0.020408163,-0.033028781,-0.022058824,-0.013157895,39.65714286,40,2606.505429,2000,0.47691807,31,2.962635744,24,2.470046825,0.821187115,1.308613586,0.442230402,510,4198.860268,0.000266809,0.023125053,274197,1.10031869,2.608347374,0,0,0,0,poorly-performing
24,1,61,5541,15611.42,137,55,55,1.361089051,6987,-0.144886244,-0.328467153,-0.2,-0.094470234,-0.058823529,-0.076923077,40.52727273,39,2842.090909,2000,0.500402224,18,2.275724642,12,1.743570159,1.15126266,1.223602771,0.904867047,221,419.4972279,0.000251953,0.013095835,533570,1.059021006,2.080754341,0,0,0,0,poorly-performing
25,1,121,5411,2284.42,81,29,267,1.109747874,3567,1.349300917,1.407407407,0.586206897,0.177622795,0.10140376,0.055555556,39.65517241,38,2519.931034,1750,0.61937609,12,2.057279077,6,0.832720701,0.832720701,1.206435957,0.545969,101,137.7788106,0.00024426,0.001292126,770393,0.903846878,1.704432854,1,1,1,3,well-performing
26,1,96,5541,31573.88,191,54,58,1.470573986,4120,-0.725229208,-0.596858639,-0.277777778,-0.094470234,-0.058823529,-0.076923077,40,39.5,3234.425926,2540,0.385681841,15,2.116659559,12,1.637330625,1.050994637,1.275547219,0.838931915,186,422.6628936,0.000253743,0.011902467,463433,1.006399556,2.20927272,0,0,0,0,poorly-performing
27,1,81,5691,13773.7,174,142,42,1.6580091,4674,-0.135323842,-0.051724138,-0.112676056,-0.033028781,-0.022058824,-0.013157895,35.68309859,33,2711.617817,2395,0.656900494,25,2.805638984,28,2.72812363,0.962472687,1.465301011,0.857981144,453,3220.431671,0.00026617,0.013017737,598454,0.931131482,2.824452618,0,0,0,0,poorly-performing
28,1,77,5411,3821.79,72,24,173,1.233069086,3197,-0.134154415,0,-0.125,0.177622795,0.10140376,0.055555556,39.29166667,38,2221.158333,1821.4,0.450561009,12,2.159671408,4,0.514096297,0.456334132,1.262702633,0.456334132,65,49.96827212,0.000242014,0.000981829,748483,1.095822435,1.754077482,0,0,0,0,poorly-performing
