merchant_id,mcc,POI_count,POI_diversity,merchant_district_mean_household_income,merchant_district_population,performance_label,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
1,5411,171,1.328555016,4120,463433,medium-performing,0.2725634,0.0342644,0.24067438,-0.0745587,0.10224501,-0.24103732,-0.08507238,0.0472511,0.09217127,0.44827992,0.04420031,0.028052036,0.32920918,-0.18340044,0.04586411,0.31812832,-0.18174236,0.16072032,-0.29526082,-0.037890885,-0.038798522,0.062689714,0.056243002,-0.301029,-0.4749422,0.48117486,-0.16850738,0.29091853,0.43913457,-0.17266253,-0.12185577,0.01173758,-0.2112834,0.15329254,-0.025852827,-0.10838043,0.18573517,0.000477596,-0.38419166,-0.160578,-0.18179084,0.34057152,-0.11842742,-0.29140195,0.33317265,0.024711648,-0.36196747,0.020316076,0.10293683,0.109671965,0.23885953,-0.13078886,-0.08798692,0.09804459,-0.18359248,-0.33167562,0.58038455,-0.22613645,-0.18284413,-0.11835381,-0.08450759,0.13295598,0.12270668,0.088055685,0.25517428,0.17161234,0.3180058,0.3536827,0.10387904,-0.18351956,0.09396917,0.12292399,-0.4511267,-0.1896292,0.37136778,-0.089389876,-0.23446919,-0.094482265,-0.3380525,0.017049452,-0.25726506,-0.6092001,-0.04665565,0.23653567,0.4138689,0.22259142,0.39228043,-0.24083856,0.23672545,0.24977832,-0.48647535,0.10470728,0.1682312,0.15427402,-0.078645594,0.13112658,0.31439134,-0.26234603,-0.018897416,0.006755342,-0.009962765,0.13948497,0.17497681,0.006429461,0.3540675,-0.0168226,0.18895674,0.16412352,0.5038413,0.11115319,-0.21450347,-0.06634191,-0.036098935,-0.1180553,-0.3217847,0.26313788,-0.014730375,-0.22333914,0.47629035,-0.016308976,-0.13372639,0.0816297,-0.12326899,-0.08195346,-0.1408664,-0.24477746,-0.14761339,0.18790145
2,5411,80,1.251058829,4188,442694,well-performing,-0.34804553,-0.06938762,0.13299015,0.3423485,0.38988656,-0.2786706,0.26630768,-0.07390903,-0.18857047,0.1583476,0.06659218,-0.29706046,0.06097996,-0.3898247,0.37213555,0.44601053,-0.14956991,-0.14586873,0.0364712,0.28419638,0.11450346,0.2053846,0.07943763,-0.22931032,-0.33356336,0.29882357,-0.14464886,0.10540772,-0.16234654,0.14438789,-0.1785766,0.17094031,0.23448451,-0.074705794,0.019608907,-0.010482916,0.024314467,-0.10234346,0.3635776,-0.097287,0.16358766,0.07627321,-0.018759735,0.11883911,0.30247927,0.30683827,-0.3936498,0.12029024,-0.07777395,-0.040045723,0.15389997,-0.07995882,0.32463697,-0.06384211,-0.3361445,-0.16235174,0.04619227,0.11816458,-0.2596817,-0.038654145,-0.45186836,-0.04156631,-0.08521542,-0.23398073,0.08827363,-0.18362509,-0.23564659,-0.14768627,0.072888546,-0.08516318,0.14390877,-0.041107774,-0.42071357,-0.043390095,0.21013421,-0.19955412,-0.07541034,-0.09166898,-0.06143636,0.052453183,-0.042156875,0.26217043,-0.13924201,0.18798979,0.1134773,0.33370796,0.30611232,-0.20117885,0.04307475,0.015413579,-0.20508666,-0.15501915,0.016266052,-0.10337944,0.012952389,0.036097296,-0.13085507,-0.14229624,0.18748568,0.30357885,-0.35528734,0.015754612,0.1012639,0.19818532,-0.06438649,0.023063075,0.014109633,0.3262634,-0.2726221,-0.42056432,0.10918511,-0.31553483,0.2845459,-0.23050685,-0.06434655,0.001436115,0.06954474,0.19550243,0.16716781,-0.009485391,-0.16886912,-0.09006082,-0.06521521,-0.023124339,-0.07387164,0.12255163,-0.30971473,0.028987156
3,5411,91,1.550197852,5772,497586,well-performing,0.14094122,-0.006945672,0.12347564,-0.077620976,0.026806751,-0.2122118,-0.09769414,-0.01043647,0.11585938,0.2816462,0.07406723,-0.07461842,0.19660515,-0.2819741,0.07568235,0.3250968,-0.070233144,0.1548733,-0.29761267,-0.1248299,0.060991045,0.011153528,0.03302812,-0.2622403,-0.34869847,0.095690414,-0.067761816,0.17346989,0.288407,-0.21616772,-0.061024692,0.06787869,-0.08259828,0.2149291,-0.11730726,-0.02296246,0.09642396,-0.0942669,-0.33115613,-0.015615463,-0.21862745,0.40163854,-0.25633186,-0.2113717,0.3394345,-0.07960691,-0.25090963,0.12823744,0.07467102,0.29940763,0.20271368,-0.00393251,-0.093385324,0.09229091,-0.20612144,-0.10354076,0.32842514,-0.24413644,-0.23862188,0.07024639,-0.049749907,0.18063228,0.22142218,-0.07936119,0.26423976,0.04357131,0.19620144,0.29585606,0.08549466,-0.31944522,-0.008678909,0.16542919,-0.22662316,-0.28055516,0.28189763,-0.16194215,-0.15098472,-0.14311442,-0.30343336,0.102859996,-0.1576611,-0.5586686,0.16357224,0.18423729,0.34197807,0.13161698,0.30621177,-0.17745838,0.2145371,0.17391008,-0.350699,0.050461788,0.21035728,0.08534606,0.041508738,0.053797092,0.23482125,-0.24914269,0.013533968,-0.10813591,0.033639047,0.049631495,0.07457831,0.18588272,0.27724928,-0.028855696,0.12430203,0.16746546,0.3458917,0.06954236,-0.13694715,-0.07973707,-0.04362869,0.0743934,-0.37825876,0.013683009,-0.009604319,-0.29918325,0.28623328,-0.12957315,-0.14478558,-0.13030417,-5.14E-05,-0.024418375,-0.20493717,-0.14789665,-0.18835512,0.13191968
4,5411,84,1.338190713,8845,222370,well-performing,-0.0346651,-0.11297435,0.087661095,0.25126937,0.27885506,-0.18327308,0.038331963,-0.01300018,-0.1300248,-0.013086164,-0.035285134,-0.21558797,-0.09889364,-0.39406362,0.22152549,-0.13226454,-0.100294635,-0.026004154,-0.26243564,0.31357166,0.47121984,-0.039861437,-0.33471942,-0.11139699,-0.17750682,-0.21237437,-0.3356083,0.10137022,0.11422518,-0.3062778,0.07847965,-0.007747937,0.14448571,0.12667623,0.23470896,0.10384122,-0.11295316,-0.42407173,0.066689685,0.3419581,0.000626686,0.30146873,-0.17514315,-0.06990836,0.16369882,0.004499603,0.15647155,0.1566849,-0.10298332,0.24647717,0.12126395,-0.03710411,-0.26221496,-0.057253808,-0.27685532,-0.16497883,-0.17208119,-0.24496531,-0.22326556,0.3550191,-0.0575695,0.21091156,0.24324037,-0.14169794,0.23484623,0.104256734,-0.045088295,0.16249377,0.27765223,-0.34557217,-0.30068406,-0.32083112,-0.18810081,-0.30549616,0.12084095,-0.3698327,-0.17283669,-0.14094585,-0.23979688,0.22319396,-0.37414178,-0.018013982,0.28851414,0.076210395,0.15453896,0.32667354,0.044305302,-0.15020233,0.28581464,0.08077752,0.11200381,-0.04121237,-0.17579623,-0.1907235,0.021387652,-0.14482996,-0.20365871,-0.2254739,-0.14429289,-0.022665812,-0.07364223,-0.16856194,-0.31774837,-0.18417941,-0.3624054,0.025902579,-0.33006483,0.36975107,-0.010265046,-0.1932412,-0.029675692,-0.17067216,0.25636205,0.21193132,-0.30786717,-0.24018304,0.029259054,0.14259851,-0.18397185,-0.18218146,-0.17831439,-0.66996515,-0.12020874,0.34889424,-0.17402516,0.011858847,-0.27331445,0.1953686
5,5411,76,1.023217959,3197,748483,poorly-performing,-0.15193026,-0.18660213,0.069382034,0.203534,0.16380617,-0.060947426,0.03082639,-0.23709175,0.059727702,0.12075729,0.16142072,-0.16389269,-0.12376545,-0.3142435,0.12586257,0.10599543,-0.2559805,0.16743338,-0.31905073,0.09808827,0.23990875,-0.03455983,-0.27207392,-0.26224574,-0.19034165,-0.001970218,-0.25817218,0.20144363,0.16968432,0.000293566,-0.004878242,0.06661458,0.36460105,0.2066797,-0.011160514,-0.021829672,0.072518095,-0.117895775,0.09185901,0.28120485,0.06981973,0.14856441,-0.2554889,-0.049795,0.2973998,0.09143297,0.2245534,-0.1818107,-0.034477092,-0.16229694,0.05762475,0.02016798,-0.18021613,0.10106993,-0.16278438,0.064195335,0.009928769,0.0938622,-0.04216878,0.05221963,0.09950076,0.015667489,0.37004912,-0.08486283,0.05196911,0.19373037,0.15723951,-0.12118122,0.07276307,-0.27376518,-0.09818059,-0.2064978,-0.15930729,-0.3187078,0.24857184,-0.2758195,-0.12780364,-0.1240946,-0.107192606,0.08240416,-0.2806825,-0.22906645,0.24543926,0.19330138,0.26480585,0.17046694,0.015767818,-0.073457494,0.14891383,-0.018001715,-0.19450875,0.12881531,-0.10405939,-0.27401233,0.028647473,-0.18073948,-0.071944475,0.02992607,-0.0720101,0.07921809,-0.006976625,0.09363203,-0.07367964,0.06643978,-0.17701212,0.19725026,-0.14877348,0.14097442,0.3258768,-0.0500318,-0.052784357,-0.001513826,-0.006925662,0.14693937,-0.329993,-0.11667795,-0.04375921,0.14587688,0.111478426,0.18972892,-0.17148568,-0.028106242,-0.17132458,0.15431292,0.037189826,-0.021119528,-0.25018287,-0.1486472
6,5411,160,0.973635668,3567,770393,medium-performing,-0.24705955,-0.31527615,0.04386533,0.111913875,0.109901994,-0.058190513,0.109992474,-0.36461705,0.14349338,0.09814407,0.35676184,-0.25599593,-0.16573338,-0.46077347,0.248862,0.37034172,-0.19072568,0.3875144,-0.3579415,0.09218081,0.35561138,0.019204495,-0.33753192,-0.42118517,-0.21697478,-0.19049351,-0.20939758,0.18336797,0.12804525,0.05270466,-0.038346086,0.06484899,0.5262088,0.2783767,-0.15172036,0.15172906,0.09151736,-0.16782972,0.15221117,0.29856047,0.15443225,0.17389035,-0.42480877,-0.13582867,0.44660595,0.03637736,0.24193007,-0.41424084,-0.093693055,-0.14349818,0.008460449,0.12521699,-0.11732656,0.17072201,-0.15570456,0.18817218,-0.014985443,0.2694376,-0.028143076,0.052646056,0.06806454,0.12750836,0.5098286,-0.1721228,0.094960526,0.09878197,0.052424174,-0.035819516,0.05139814,-0.36711472,-0.097916394,-0.078294374,-0.017387709,-0.41800043,0.18854524,-0.34519878,-0.067251675,-0.11151931,-0.078748934,0.102082066,-0.37253547,-0.2811739,0.29265082,0.26522386,0.3385839,0.07916543,0.054802634,-0.15396303,0.10695443,-0.05525391,-0.29050574,0.09205546,-0.0995297,-0.28465027,-0.005872028,-0.13470924,-0.17287204,0.12526427,-0.029106336,-0.08475677,-0.02776567,-0.021533042,-0.24018256,0.14610673,-0.16639951,0.25371587,-0.25690937,0.02655441,0.29065108,-0.09965536,-0.00163809,-0.009840389,-0.08399509,0.25555354,-0.30407983,-0.3778542,0.10826058,-0.026750976,0.19892018,0.25328383,-0.32137546,-0.1265546,-0.21854958,0.1198408,-0.012763422,-0.003056676,-0.21145247,-0.37258205
7,5411,259,1.237190384,5772,497586,medium-performing,0.16215229,-0.07125352,0.09755886,-0.047077075,-0.01881529,-0.2333636,-0.06623374,0.008748225,0.18213418,0.3312036,0.04217493,-0.06556444,0.2273244,-0.23738186,0.05835052,0.27722386,-0.05150676,0.11708876,-0.26143083,-0.10481848,0.074235626,-0.044539213,-0.014653172,-0.34189615,-0.3561314,0.1130707,-0.11321237,0.21623138,0.30341724,-0.1832672,-0.03990948,0.052807514,-0.037320867,0.27455363,-0.11737493,-0.15925199,0.08162501,-0.09976225,-0.29546675,0.05999375,-0.1724216,0.41427678,-0.28346387,-0.17383882,0.3293605,-0.09956677,-0.1924683,0.17580658,-0.043721743,0.2554621,0.20473334,-0.09736952,-0.094838895,0.09092083,-0.1664401,-0.15365338,0.34372526,-0.20911244,-0.18509541,0.0804096,-0.06202738,0.14268671,0.25215057,-0.046586953,0.18763155,0.0671206,0.22470225,0.33881637,0.21710676,-0.33406574,0.054621097,0.05929221,-0.23305015,-0.30402803,0.31454077,-0.1962002,-0.104826465,-0.08087553,-0.25634265,0.02896446,-0.14707564,-0.5981468,0.180846,0.15359208,0.38162714,0.23624806,0.2661154,-0.17618926,0.30105132,0.11781008,-0.29785347,0.11360897,0.11184625,0.03255775,0.050165385,-0.0309775,0.25770092,-0.24410912,-0.00758168,-0.13400817,0.004702784,0.07090421,-0.052055657,0.13936706,0.20160183,0.047266062,0.111210875,0.1637767,0.40633404,0.13737011,-0.15989377,-0.075109504,-0.014175739,0.035846673,-0.49078223,0.071692474,-0.07134462,-0.28294998,0.33170572,-0.18158242,-0.14371562,-0.106392324,0.008640404,-0.055540733,-0.16308893,-0.17016251,-0.23842779,0.12656553
8,5691,88,0.992109765,3055,698260,poorly-performing,0.30082977,0.05615611,0.3388133,0.055078354,0.24878167,-0.21033606,-0.18002047,0.038009822,-0.13259186,0.42218423,-0.068209335,0.02379429,0.16857451,-0.21269163,0.06265978,-0.06305767,-0.2273783,0.29454827,-0.21644874,0.14373608,-0.014093978,0.13350001,-0.008715421,-0.17721272,-0.53594816,0.5661231,-0.27126253,0.33181876,0.45064375,-0.18959104,-0.20500486,-0.100064404,-0.3793323,0.18305871,0.07053529,-0.03992254,0.13679959,0.085523434,-0.40718505,-0.15643758,-0.21096858,0.12342017,-0.19806796,-0.37327823,0.32622668,0.0727582,-0.11749799,-0.13918407,0.10356331,0.001932227,0.19832493,-0.13272148,-0.038207985,0.04299176,-0.24773905,-0.2831213,0.520945,-0.11955307,-0.045421846,-0.22614281,-0.09814147,0.27922082,0.006754915,0.20012507,0.32915342,0.25024745,0.24886885,0.1962232,0.109822206,0.023851605,-0.11297968,0.035458807,-0.4674877,-0.036457215,0.30689985,-0.26485953,-0.23065174,-0.12779959,-0.39857978,-0.031225067,-0.27137804,-0.4249264,-0.10674403,0.29713264,0.3458091,0.17009784,0.44015783,-0.16832274,0.26566482,0.19993848,-0.5721463,0.051869407,0.2896474,0.147585,-0.21503218,0.0773595,0.3939024,-0.10785371,-0.05214489,0.21825255,0.06234413,0.12102341,0.31732216,-0.21094418,0.2626971,-0.19626348,-0.0317731,0.22216468,0.424788,0.023481572,-0.19653797,0.030189177,-0.060029805,-0.120761424,-0.08681013,0.24505952,0.07939094,0.06351781,0.40975574,0.16995515,-0.24831164,0.09835571,-0.25746492,0.10292409,0.006142719,-0.25034258,0.016911218,0.22736521
9,5541,33,0,2372,180524,poorly-performing,-0.10143094,-0.08325909,0.14643344,0.07346495,-0.002681724,-0.097681366,0.09676736,-0.05195479,0.0023125,0.028886462,0.10764407,-0.003470602,0.066747576,-0.3961864,0.059495337,0.2437787,-0.20618616,0.16247217,-0.1729287,0.15557739,0.17881343,0.04008847,0.027624689,-0.14143917,-0.1661017,0.0704875,-0.22813262,0.102772534,0.23746693,0.06320966,-0.09118692,-0.060884293,0.24850431,-0.008218863,-0.041071188,0.18994538,0.069916494,0.07972155,0.055580653,-0.014768918,-0.15534914,0.2006238,-0.22235252,-0.12517737,0.24949546,-0.046529025,-0.004962454,-0.087931275,-0.030424066,-0.023253804,0.16004083,0.003064647,-0.038923685,0.03677354,-0.025883088,-0.051969714,0.16286783,0.03410104,-0.08796783,-0.10709068,-0.18763758,0.11982615,0.008327313,-0.051458932,0.2676276,0.058591,-0.053229805,-0.0322,0.09083241,-0.11943678,0.001942233,0.09677512,-0.20107248,-0.16448583,0.072514415,-0.20197499,0.12353201,0.017201863,-0.063395105,0.042921316,-0.21689327,0.025620002,-0.08294995,0.16746014,0.17643465,0.23361781,-0.00397327,-0.14833002,0.07115118,0.047963604,-0.2626976,0.11430247,0.050294816,-0.21585576,0.20337124,0.14179517,-0.024930047,0.08935491,0.06405512,-0.0708792,-0.21310554,0.049346965,0.035201214,0.05141836,-0.09040262,0.15692481,-0.15816632,0.06746802,0.12208764,-0.08436027,0.11913125,-0.093116306,0.07966306,0.12032545,-0.02522926,-0.1269389,0.021127267,0.030211026,0.033685755,0.03513534,-0.005796325,-0.24299775,-0.085001916,0.022239733,-0.12443147,0.027022358,-0.08998375,0.001886528
10,5411,9,0.348832096,5772,497586,medium-performing,0.2631279,-0.020244874,0.30896768,-0.120679244,0.09053106,-0.19111106,-0.12108658,0.14339137,0.13149017,0.51781124,0.016888477,-0.012819229,0.31579316,-0.13697422,0.057692897,0.14717539,-0.13942346,0.12688355,-0.26320735,0.035480056,0.006567722,-0.048135087,0.040261056,-0.3305281,-0.43508065,0.33176652,-0.17870119,0.27207142,0.43044546,-0.15290344,-0.06364933,-0.0244261,-0.19895539,0.2213482,-0.08045491,-0.15409231,0.14681903,0.011684929,-0.43926105,-0.013344183,-0.24523528,0.41989818,-0.2647003,-0.20659839,0.3589223,-0.05879119,-0.24633671,0.08878045,-0.03529152,0.17135946,0.33022645,-0.15795584,-0.10534077,0.08437826,-0.11911193,-0.31518707,0.5729511,-0.24864088,-0.12560846,-0.10721887,-0.043920957,0.24285072,0.10139898,0.046755917,0.30653688,0.0846008,0.4003918,0.33684394,0.09227722,-0.2680523,0.07749589,-0.010632729,-0.37984,-0.18178393,0.3394864,-0.16887407,-0.14615324,-0.14608468,-0.38310477,-0.09829616,-0.16585183,-0.6763254,0.003750716,0.29390618,0.46135846,0.32365698,0.36994106,-0.2848778,0.29088688,0.17979597,-0.42654228,0.23466688,0.24120237,0.11181241,-0.060978096,0.23198898,0.3658011,-0.30792788,-0.044013362,-0.079229236,-0.109796405,0.1368319,0.0712352,-0.017977718,0.25177738,-0.02229407,0.066532515,0.13192852,0.508407,0.15312132,-0.19541815,-0.011447001,-0.002643484,-0.04118886,-0.33571672,0.28951114,-0.07862427,-0.1896924,0.39167175,-0.18190332,-0.1114988,0.019321956,-0.00789138,-0.05373952,-0.16372855,-0.266577,-0.112398624,0.17743511
